2,4,8,16,32,64
0.07,0.18,0.34,0.80,1.87,1.58
0.18,0.21,0.34,0.68,1.29,1.72
0.17,0.17,0.33,0.45,1.69,1.45
0.20,0.19,0.32,0.47,0.96,5.78
0.17,0.21,0.35,0.73,0.97,6.37
