cons_number ,prod_number ,threads_number,try_number i ,time
0.425050
1,1,2,1,0.23
0.409622
1,1,2,2,0.22
0.397514
1,1,2,3,0.20
0.404997
1,1,2,4,0.21
0.415753
1,1,2,5,0.22
0.432817
2,2,4,1,0.11
0.409993
2,2,4,2,0.11
0.442615
2,2,4,3,0.11
0.418279
2,2,4,4,0.11
0.458077
2,2,4,5,0.12
0.482401
4,4,8,1,0.06
0.480613
4,4,8,2,0.06
0.517008
4,4,8,3,0.07
0.508570
4,4,8,4,0.07
0.500074
4,4,8,5,0.07
0.561620
8,8,16,1,0.04
0.772380
8,8,16,2,0.06
0.822391
8,8,16,3,0.06
0.700538
8,8,16,4,0.05
0.657676
8,8,16,5,0.04
0.834772
16,16,32,1,0.06
0.855776
16,16,32,2,0.06
0.683655
16,16,32,3,0.05
0.750091
16,16,32,4,0.06
0.889415
16,16,32,5,0.06
0.926081
32,32,64,1,0.07
0.901756
32,32,64,2,0.07
0.972586
32,32,64,3,0.07
0.902044
32,32,64,4,0.07
0.822869
32,32,64,5,0.06
